μέρη N3E-APN--- μέρος
αὐτῶν RD--GPN--- αὐτός
καὶ C--------- καί
τὰ RA--NPN--- ὁ
πρόσωπα N2N-NPN--- πρόσωπον
αὐτῶν RD--GPN--- αὐτός
τῶν RA--GPN--- ὁ
τεσσάρων A3--GPN--- τέσσαρες

Ezek 1:9
οὐκ D--------- οὐ
ἐπεστρέφοντο V1I-IMI3P- στρέφω ἐπι
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
βαδίζειν V1--PAN--- βαδίζω
αὐτά RD--APN--- αὐτός
ἕκαστον A1--NSN--- ἕκαστος
κατέναντι D--------- κατέναντι
τοῦ RA--GSN--- ὁ
προσώπου N2N-GSN--- πρόσωπον
αὐτῶν RD--GPN--- αὐτός
ἐπορεύοντο V1I-IMI3P- πορεύομαι

Ezek 1:10
καὶ C--------- καί
ὁμοίωσις N3I-NSF--- ὁμοίωσις
τῶν RA--GPN--- ὁ
προσώπων N2N-GPN--- πρόσωπον
αὐτῶν RD--GPN--- αὐτός
πρόσωπον N2N-NSN--- πρόσωπον
ἀνθρώπου N2--GSM--- ἄνθρωπος
καὶ C--------- καί
πρόσωπον N2N-NSN--- πρόσωπον
λέοντος N3--GSM--- λέων
ἐκ P--------- ἐκ
δεξιῶν A1A-GPN--- δεξιός
τοῖς RA--DPN--- ὁ
τέσσαρσιν A3--DPN--- τέσσαρες
καὶ C--------- καί
πρόσωπον N2N-NSN--- πρόσωπον
μόσχου N2--GSM--- μόσχος
ἐξ P--------- ἐκ
ἀριστερῶν A1A-GPN--- ἀριστερός
τοῖς RA--DPN--- ὁ
τέσσαρσιν A3--DPN--- τέσσαρες
καὶ C--------- καί
πρόσωπον N2N-NSN--- πρόσωπον
ἀετοῦ N2--GSM--- ἀετός
τοῖς RA--DPN--- ὁ
τέσσαρσιν A3--DPN--- τέσσαρες

Ezek 1:11
καὶ C--------- καί
αἱ RA--NPF--- ὁ
πτέρυγες N3G-NPF--- πτέρυξ
αὐτῶν RD--GPN--- αὐτός
ἐκτεταμέναι VM--XMPNPF τείνω ἐκ
ἄνωθεν D--------- ἄνωθεν
τοῖς RA--DPN--- ὁ
τέσσαρσιν A3--DPN--- τέσσαρες
ἑκατέρῳ A1A-DSN--- ἑκάτερος
δύο M--------- δύο
συνεζευγμέναι VM--XPPNPF ζεύγνυμι συν
πρὸς P--------- πρός
ἀλλήλας RD--APF--- ἀλλήλω
καὶ C--------- καί
δύο M--------- δύο
ἐπεκάλυπτον V1I-IAI3P- καλύπτω ἐπι
ἐπάνω D--------- ἐπάνω
τοῦ RA--GSN--- ὁ
σώματος N3M-GSN--- σῶμα
αὐτῶν RD--GPN--- αὐτός

Ezek 1:12
καὶ C--------- καί
ἑκάτερον A1A-NSN--- ἑκάτερος
κατὰ P--------- κατά
πρόσωπον N2N-ASN--- πρόσωπον
αὐτοῦ RD--GSN--- αὐτός
ἐπορεύετο V1I-IMI3S- πορεύομαι
οὗ RR--GSN--- ὅς
ἂν X--------- ἄν
ἦν V9--IAI3S- εἰμί
τὸ RA--NSN--- ὁ
πνεῦμα N3M-NSN--- πνεῦμα
πορευόμενον V1--PMPNSN πορεύομαι
ἐπορεύοντο V1I-IMI3P- πορεύομαι
καὶ C--------- καί
οὐκ D--------- οὐ
ἐπέστρεφον V1I-IAI3P- στρέφω ἐπι

Ezek 1:13
καὶ C--------- καί
ἐν P--------- ἐν
μέσῳ A1--DSN--- μέσος
τῶν RA--GPN--- ὁ
ζῴων N2N-GPN--- ζῷον
ὅρασις N3I-NSF--- ὅρασις
ὡς C--------- ὡς
ἀνθράκων N3K-GPM--- ἄνθραξ
πυρὸς N3--GSN--- πῦρ
καιομένων V1--PMPGPM καίω
ὡς C--------- ὡς
ὄψις N3I-NSF--- ὄψις
λαμπάδων N3D-GPF--- λαμπάς
συστρεφομένων V1--PPPGPF στρέφω συν
ἀνὰ P--------- ἀνά
μέσον A1--ASN--- μέσος
τῶν RA--GPN--- ὁ
ζῴων N2N-GPN--- ζῷον
καὶ C--------- καί
φέγγος N3E-ASN--- φέγγος
τοῦ RA--GSN--- ὁ
πυρός N3--GSN--- πῦρ
καὶ C--------- καί
ἐκ P--------- ἐκ
τοῦ RA--GSN--- ὁ
πυρὸς N3--GSN--- πῦρ
ἐξεπορεύετο V1I-IMI3S- πορεύομαι ἐκ
ἀστραπή N1--NSF--- ἀστραπή

Ezek 1:15
καὶ C--------- καί
εἶδον VBI-AAI1S- ὁράω
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
τροχὸς N2--NSM--- τροχός
εἷς A3--NSM--- εἷς
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
ἐχόμενος V1--PMPNSM ἔχω
τῶν RA--GPN--- ὁ
ζῴων N2N-GPN--- ζῷον
τοῖς RA--DPN--- ὁ
τέσσαρσιν A3--DPN--- τέσσαρες

Ezek 1:16
καὶ C--------- καί
τὸ RA--NSN--- ὁ
εἶδος N3E-NSN--- εἶδος
τῶν RA--GPM--- ὁ
τροχῶν N2--GPM--- τροχός
ὡς C--------- ὡς
εἶδος N3E-NSN--- εἶδος
θαρσις N---GS---- θαρσις
καὶ C--------- καί
ὁμοίωμα N3M-NSN--- ὁμοίωμα
ἓν A3--NSN--- εἷς
τοῖς RA--DPN--- ὁ
τέσσαρσιν A3--DPN--- τέσσαρες
καὶ C--------- καί
τὸ RA--NSN--- ὁ
ἔργον N2N-NSN--- ἔργον
αὐτῶν RD--GPM--- αὐτός
ἦν V9--IAI3S- εἰμί
καθὼς D--------- καθώς
ἂν X--------- ἄν
εἴη V9--PAO3S- εἰμί
τροχὸς N2--NSM--- τροχός
ἐν P--------- ἐν
τροχῷ N2--DSM--- τροχός

Ezek 1:17
ἐπὶ P--------- ἐπί
τὰ RA--APN--- ὁ
τέσσαρα A3--APN--- τέσσαρες
μέρη N3E-APN--- μέρος
αὐτῶν RD--GPM--- αὐτός
ἐπορεύοντο V1I-IMI3P- πορεύομαι
οὐκ D--------- οὐ
ἐπέστρεφον V1I-IAI3P- στρέφω ἐπι
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
πορεύεσθαι V1--PMN--- πορεύομαι
αὐτὰ RD--APN--- αὐτός

Ezek 1:18
οὐδ' C--------- οὐδέ
οἱ RA--NPM--- ὁ
νῶτοι N2--NPM--- νῶτος
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ὕψος N3E-NSN--- ὕψος
ἦν V9--IAI3S- εἰμί
αὐτοῖς RD--DPM--- αὐτός
καὶ C--------- καί
εἶδον VBI-AAI1S- ὁράω
αὐτά RD--APN--- αὐτός
καὶ C--------- καί
οἱ RA--NPM--- ὁ
νῶτοι N2--NPM--- νῶτος
αὐτῶν RD--GPM--- αὐτός
πλήρεις A3H-NPM--- πλήρης
ὀφθαλμῶν N2--GPM--- ὀφθαλμός
κυκλόθεν D--------- κυκλόθεν
τοῖς RA--DPM--- ὁ
τέσσαρσιν A3--DPM--- τέσσαρες

Ezek 1:19
καὶ C--------- καί
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
πορεύεσθαι V1--PMN--- πορεύομαι
τὰ RA--APN--- ὁ
ζῷα N2N-APN--- ζῷον
